outcome,label,att,se,t,p,ci_low,ci_high,n,G,att_k3,att_k2,att_k1
target_engaged,Climate target engagement,0.14444458383753087,0.06146413577795902,2.350062878283055,0.018770239947233872,0.023974877712731185,0.2649142899623306,28236,27,0.041253,0.176981,0.07379
firm_growth_ord_d,Firm growth (binary),-0.032395833638067126,0.05805258665832535,-0.5580428970157048,0.5768150920970619,-0.1461789034883848,0.08138723621225055,28236,27,-0.086402,-0.031312,-0.085318
